,names,scores,logfoldchanges,pvals,pvals_adj
137,PKIG,3.481177,3.0432775,0.0007854885362002002,0.002237515431758381
138,ITK,3.4636106,3.7516537,0.0008323013698049686,0.002357088031444499
139,NBEA,3.4605095,1.6485614,0.0008376482938668232,0.0023703523375138763
140,FREM1,3.4422271,4.3814163,0.0008926764012025853,0.0025121460298409763
141,AC002070.1,3.438445,3.0795875,0.0009026502343812864,0.002536220076791445
142,KLRG1,3.4015694,3.6092556,0.001017575595021404,0.0028298393281855775
143,AC008568.1,3.3975132,5.5416307,0.0010316470808394247,0.0028659981864905585
144,PHF20,3.3842137,1.2817464,0.0010703525889344293,0.0029650743982831546
145,SORBS1,3.3820488,1.8940252,0.001079993026221235,0.0029894630765829565
146,CT69,3.315258,3.671155,0.0013407605592784969,0.003656526698864058
147,RGS17,3.293556,4.526666,0.0014366927400511899,0.0038909369938946348
148,IFITM10,3.2929318,2.8932981,0.001437878183106618,0.0038931641109265554
149,ST3GAL4,3.29049,3.0654597,0.0014494300083245433,0.0039214707416744266
150,CNST,3.2678308,1.5655587,0.0015524768715718673,0.0041781267612935645
151,MALAT1,3.2621355,0.22797266,0.0015558826611496773,0.004186241880262695
152,MYO16,3.2326913,4.054315,0.0017385075101431953,0.004638352817938188
153,CASC20,3.208755,6.0948153,0.0018736923241143497,0.004973320732554538
154,HDAC4,3.1932113,1.2137803,0.0019563213040968554,0.005169606166981265
155,USP48,3.1909075,1.4195334,0.001972135064986513,0.005209468383046413
156,ELL2,3.188893,1.0333296,0.001977991361698244,0.005223651078849402
157,PRKX,3.185876,1.7115054,0.0020049781398215113,0.0052877568848029135
158,SPECC1,3.1852164,1.6083564,0.0020077261217356845,0.0052937020723595254
159,PAG1,3.1784112,1.2241971,0.0020478105467927727,0.005392760575392879
160,MYB,3.1776109,4.960781,0.0020627259331949897,0.005426042064699872
161,ST7,3.1699467,2.089562,0.002107367879230819,0.005533292127124487
162,CHD7,3.144672,1.4602975,0.0022741497822487376,0.0059355973625294465
163,AREG,3.1313083,2.3252044,0.002372542062253417,0.006169875331428847
164,KREMEN1,3.1292965,2.437665,0.002388459641779154,0.006208097212535384
165,PAQR5,3.1193118,3.8869855,0.002465381997638564,0.006386524710964167
166,RHOBTB3,3.1112382,1.3414662,0.0025181479527525323,0.006512200277234118
167,CDRT4,3.0773728,2.2036746,0.0027959119740101016,0.007154598612252102
168,CLNK,3.0729399,3.5251818,0.002836507259323507,0.007252054461872658
169,ESR2,3.0723207,3.3726697,0.0028421394044969963,0.007264223765200666
170,A2M-AS1,3.067563,4.3888173,0.0028843060945998003,0.0073649749812572185
171,AL356804.1,3.0505068,4.089232,0.00303601801006347,0.007719275575978308
172,B4GALT5,3.0447917,1.3562013,0.0030784644866618713,0.007815152415292669
173,LINC01340,3.0412724,3.4146109,0.0031200442775776924,0.007910737604224437
174,ZNF439,3.026379,2.8068452,0.0032610973986997283,0.008244632470846142
175,ZNF704,3.0247872,1.7523335,0.003272065945315295,0.008268463602562006
176,CSF1,3.0168,2.904157,0.003355755139192384,0.00845404290470412
177,FSIP1,3.0055285,2.717487,0.003469488246678713,0.008714970828368081
178,LTC4S,3.0014472,2.3022146,0.0035096760890546033,0.008802513924407826
