,names,scores,logfoldchanges,pvals,pvals_adj
233,AL445426.1,12.664874,2.9452803,7.174522982799012e-36,2.699131067423544e-34
234,ST6GALNAC3,12.643283,1.2407181,5.139346731645815e-36,1.9437063723705968e-34
235,LTBP1,12.640343,2.7180414,9.403998442201576e-36,3.5193602547045477e-34
236,PTGIS,12.600737,4.1094656,2.2098492381584713e-35,8.100514027875258e-34
237,SLC39A14,12.576098,2.9607127,2.3204100237336476e-35,8.476809633550995e-34
238,PCDH7,12.543523,2.5454295,2.880624031550531e-35,1.050545947832816e-33
239,ABCA10,12.528576,2.762822,3.6295930742272403e-35,1.3169711317043813e-33
240,PTPRD,12.498891,2.709533,5.358613847666674e-35,1.9312624428464565e-33
241,ADAMTSL3,12.496652,3.320648,6.375116095028107e-35,2.2822702761566398e-33
242,POSTN,12.4950905,2.9330082,6.318396995689788e-35,2.2657475781868194e-33
243,CYYR1,12.483346,2.8796093,6.776705709325128e-35,2.4059549210392065e-33
244,PRICKLE2,12.478882,2.7186186,6.687300277822647e-35,2.378150367456531e-33
245,CD163,12.433419,0.8833496,5.889047059705269e-35,2.1188712273208017e-33
246,AL589693.1,12.400309,3.0314248,1.9153424877142902e-34,6.733213820745122e-33
247,GALNT18,12.386999,2.5719771,1.819545855969036e-34,6.417490351217106e-33
248,FERMT2,12.357202,2.5517037,2.4224365477585387e-34,8.446622655306359e-33
249,CLMP,12.341505,3.0518744,3.541829028483694e-34,1.2250158336581344e-32
250,YAP1,12.33454,2.4092965,3.340416066887995e-34,1.1572194206517959e-32
251,TEK,12.324527,3.7221355,5.51059767681583e-34,1.887687804818509e-32
252,PBX1,12.321069,1.8462312,2.9301574974337934e-34,1.0183840741486267e-32
253,MAGI1,12.297887,1.5803386,4.067278256447686e-34,1.4033925965680968e-32
254,SORBS2,12.269719,2.1796868,7.122935345134173e-34,2.420669184485851e-32
255,DTNA,12.25501,1.0584414,5.541324035889897e-34,1.8951858472986115e-32
256,GFOD1,12.253046,1.1979545,6.1422205815619145e-34,2.0940187305407584e-32
257,MPDZ,12.249101,2.7009616,9.527155069879528e-34,3.212269077334852e-32
258,MEIS2,12.240581,1.8700453,7.5682019252337185e-34,2.567919653239112e-32
259,ZNF423,12.239425,3.0225945,1.2444670869256802e-33,4.163237474576332e-32
260,NPAS3,12.235154,1.4323184,7.96425937955235e-34,2.698034409717545e-32
261,CCN2,12.229934,2.7419288,1.2347117300010594e-33,4.1370559903347995e-32
262,MT2A,12.226824,1.479654,9.206798008259928e-34,3.109142936836628e-32
263,MAPK10,12.221556,2.287134,1.2600412687938167e-33,4.2087733595038324e-32
264,APBB2,12.212764,1.5635344,1.1061795009592327e-33,3.718011476264857e-32
265,MCL1,12.186275,1.0008693,1.2705353478111287e-33,4.2372255052040195e-32
266,MAP1B,12.160488,2.8657682,3.0013835066817828e-33,9.901795064197561e-32
267,STXBP6,12.1036005,2.1959326,4.3478239669178916e-33,1.4212612369906595e-31
268,PHLDB2,12.090243,2.9986806,7.170479426815506e-33,2.31223700494183e-31
269,HSPG2,12.088676,2.0062556,5.4277007253698875e-33,1.7635093084065435e-31
270,LRRC4C,12.070551,2.9160125,8.910892733825556e-33,2.860556643475378e-31
271,ITGA1,12.057075,2.5072582,9.093777444464712e-33,2.9149022947548768e-31
272,SPSB1,12.050673,2.4005506,9.520315568216137e-33,3.0470693588780126e-31
273,GALNT13,12.043369,3.556407,1.3744879058102361e-32,4.379571865110654e-31
274,CACNA1C,12.032962,2.205588,1.1244048620129399e-32,3.593403556036585e-31
