,names,scores,logfoldchanges,pvals,pvals_adj
149,OSBPL10,7.902597,2.1603637,7.324702541587503e-13,6.095107539844875e-12
150,DAAM1,7.8513055,1.6413109,9.33297270382231e-13,7.727268983041144e-12
151,CNTN4,7.808598,1.5463842,1.1557295400194176e-12,9.488309439577485e-12
152,EML4,7.7608886,2.3761053,1.6294936643357434e-12,1.3200930161698408e-11
153,SMAD6,7.740397,4.3687997,1.883738510158372e-12,1.512917176473263e-11
154,ALDH1A1,7.6726866,2.7497485,2.6653073194482094e-12,2.1203598325787157e-11
155,AC068875.1,7.6346493,7.21882,3.3834764309819424e-12,2.6645342851992938e-11
156,AC107208.1,7.628606,5.105102,3.484267953935821e-12,2.7398841952401818e-11
157,EPHA3,7.618688,2.5191257,3.5483967018570583e-12,2.786225517196e-11
158,RNF152,7.611319,3.1772146,3.7653645287370096e-12,2.950108767052848e-11
159,NR2F1,7.580913,2.9794042,4.42958734891154e-12,3.456625586246691e-11
160,CAMK4,7.5679307,4.308648,4.826625431530547e-12,3.750078107019603e-11
161,CD81,7.518305,2.7414768,6.195323575113273e-12,4.758328035269664e-11
162,CTDSPL,7.4822273,1.8487542,7.294646348741745e-12,5.566775669125196e-11
163,STAC,7.446023,4.7021227,9.37266308190508e-12,7.107050464228167e-11
164,NCALD,7.4335113,2.7472363,9.822478688828953e-12,7.432365314158365e-11
165,VIPR1-AS1,7.4079285,8.854271,1.1582498709364891e-11,8.724099133249763e-11
166,MIR4435-2HG,7.3342276,2.1836076,1.651248092995154e-11,1.230773865352384e-10
167,DCLK2,7.328846,2.6150846,1.722837692135967e-11,1.2827962316029056e-10
168,ENG,7.306875,3.0497508,1.9601076983262295e-11,1.451901536542579e-10
169,PAWR,7.2881246,2.6667976,2.1533222044478924e-11,1.590624917402019e-10
170,ABCB11,7.2806063,6.6454387,2.2933642165530257e-11,1.6905775957292224e-10
171,ADAMTSL3,7.2710485,1.6915255,2.2409015234795408e-11,1.6536095068649438e-10
172,RAPH1,7.2399216,2.0395796,2.734075410820347e-11,1.9989605560733558e-10
173,GGT5,7.205061,2.7345674,3.3631983630001685e-11,2.4397978922928146e-10
174,SPATS2L,7.1764894,1.9030086,3.829049659380824e-11,2.7535258516352246e-10
175,MAP4K3,7.119963,1.6540616,5.109335625931753e-11,3.632778287880654e-10
176,AC007319.1,7.086065,1.7672595,6.103635199265898e-11,4.316832229982121e-10
177,SYTL5,7.079461,7.1904206,6.695587286704605e-11,4.718375740259401e-10
178,ACTN4,7.047607,2.4238925,7.72510590415199e-11,5.417173675887354e-10
179,RAI14,7.025716,2.2250907,8.611611351132806e-11,6.025037318554384e-10
180,CNKSR3,6.9883394,2.9656122,1.0660971818471615e-10,7.393721852370805e-10
181,RNF180,6.9871726,2.57546,1.0645090607564935e-10,7.385096182097136e-10
182,CACNA2D1,6.9848037,1.4719402,1.0296447902723008e-10,7.157116007325516e-10
183,COL6A1,6.9822435,1.5709022,1.0524817817534208e-10,7.304019199974226e-10
184,NIBAN2,6.979824,2.841536,1.1132896069657973e-10,7.711040804836744e-10
185,C2CD2,6.9547634,2.6393933,1.2659069425807314e-10,8.714641565554158e-10
186,ROBO1,6.953967,1.5090146,1.216503395053222e-10,8.382615296761339e-10
187,AC007098.1,6.9129395,3.4959974,1.5930424947772077e-10,1.0851716409784764e-09
188,LINC01695,6.904115,2.97531,1.6581883181975641e-10,1.1277573832993519e-09
189,APBB2,6.8919315,1.4309862,1.6840959741778252e-10,1.1446514760782655e-09
