,names,scores,logfoldchanges,pvals,pvals_adj
242,NRP2,24.270958,3.2490187,2.0715530447405283e-113,1.1973688272618837e-111
243,CTHRC1,24.185326,4.0557303,4.1495207109560255e-112,2.323298227826136e-110
244,KDM2A,24.122128,1.4108844,2.189332143862883e-116,1.3041121803609909e-114
245,PRICKLE1,24.120283,2.1639707,1.5162572604064628e-113,8.811550323077558e-112
246,GOLGA2,24.073633,2.2603498,2.2728024707387766e-113,1.3066481550274082e-111
247,SLC24A3,24.061808,1.7019515,1.491632061097554e-114,8.715683356451211e-113
248,DDAH1,24.06076,2.797858,5.194224156452568e-112,2.893115397687503e-110
249,MRVI1,24.058372,2.8918102,4.195656950149325e-112,2.3430121780990136e-110
250,HM13,24.026436,1.9961358,1.8535257046863565e-113,1.0742433840890334e-111
251,ANKH,24.006788,2.346643,4.047326990285872e-112,2.2720125649133573e-110
252,EEF1A1,23.976633,1.9876761,7.21281203658755e-113,4.1026934035168024e-111
253,PDIA3,23.973722,2.2930946,3.558085625268151e-112,2.0131817453364178e-110
254,ANKRD17,23.948397,1.1798879,3.6330188420403136e-116,2.1521120455445436e-114
255,BMP1,23.914442,2.4302528,1.3446670296248275e-111,7.450914672680827e-110
256,TGFB1,23.7971,3.3915253,1.700316768264373e-109,9.25421136514244e-108
257,LMO7,23.796238,2.835727,6.750931457127928e-110,3.683638019507666e-108
258,SRPK2,23.758945,1.439205,4.5703236138057426e-113,2.606543073788573e-111
259,TRANK1,23.758873,1.9709022,3.35229315360885e-111,1.847983917377588e-109
260,MT-ND5,23.717115,2.260358,4.746033046992434e-110,2.5962737923394325e-108
261,PLAT,23.70804,3.8393023,2.2222591719660404e-108,1.1973398412974817e-106
262,COL11A1,23.683054,4.5391164,6.089420821142083e-108,3.264538502214271e-106
263,MIR100HG,23.68289,1.4207481,3.7595859374432042e-112,2.121593706382423e-110
264,SNX25,23.592293,2.6383014,1.2377133998169998e-108,6.6855229586085e-107
265,LOXL2,23.583431,3.6153708,1.3513211137213187e-107,7.226366574224428e-106
266,MARK3,23.578672,1.3061013,3.864434193983969e-112,2.1750374502832607e-110
