,0
HNF1A-AS1,0.00026029028401345
MS4A6A,0.0002601334047466
IGHGP,0.00025960800437322995
DISC1,0.0002584783881413
REV3L,0.00025842690910565
GAB3,0.0002581797337272743
FBXL7,0.0002580278616717162
KAT2B,0.0002578363699266
APBA1,0.0002573584251118
ARHGAP24,0.00025714022802475
ARHGAP10,0.0002570003563928
USP9Y,0.00025669459348665
UNC5C,0.0002564643604017597
HPN,0.0002564592335348
GNB4,0.00025608175658815
EVC,0.00025595289955045
SOX5,0.00025556775638860003
RASAL3,0.0002555291595477752
TNS3,0.00025515210688985
FTCDNL1,0.0002550695934242941
IRS2,0.0002550427854948545
DLGAP1,0.00025503753651327814
DAB1,0.00025499672915225
SH3PXD2B,0.0002547718687387
ACSL4,0.0002546100232589854
RIPOR2,0.00025402432016664997
FAM66C,0.00025378092987897016
ITGA11,0.00025323102233253174
AP003059.2,0.0002522828222608
TCF7L1,0.0002520807037826656
CACNB2,0.00025196030709785
CD74,0.0002509454137565253
NFIA,0.0002508088531239
TTTY14,0.0002507601351014
MSR1,0.00025035614306535
TLCD4,0.0002501566790368973
PIK3R1,0.0002499391712876
LRIG1,0.0002496522833460056
CSGALNACT1,0.0002490208593696
RASSF4,0.00024751077818490003
SLC7A10,0.00024732942348881527
ZNF493,0.0002468509141457
P2RY10,0.0002463296921158018
VEPH1,0.0002462798506192
KRBOX1,0.0002459453790128
SEPTIN6,0.00024551192551545
MOGAT1,0.00024517481065304997
MAGEH1,0.00024494026863719996
SETBP1,0.0002448050060828
FGD5,0.00024470918242525
ZNF331,0.00024470559904500003
NRG1,0.0002446864905718
CYBRD1,0.0002445056578902
SOBP,0.00024448093519425
PDE8B,0.0002443834643718
ZFHX3,0.000243854172871014
CA8,0.00024373382287126767
RUNDC3B,0.00024350705542195003
CPEB3,0.00024331538751165002
SHROOM2,0.00024330451172714472
ZBTB20,0.00024284514664795002
ADAMTSL1,0.00024247096447710002
RFX3-AS1,0.00024194455108355
ARHGAP20,0.00024176279043332979
ZNF366,0.0002416516793309
RASSF2,0.0002416212754102798
CHI3L1,0.0002414960987311
SLC39A8,0.00024106711177205
C2orf27A,0.00024093845559795
GUCY1A1,0.00024091528989695
ZEB1,0.00024081455287887756
CSF1R,0.00024000186222945
MAMLD1,0.00023993031094969396
PCDH17,0.00023984270884565002
TMOD1,0.00023972383732035
CD247,0.00023957778782905
TUB,0.000239258983624
DIRC3,0.00023888356346400002
MOCS1,0.00023869616414249999
WIPF3,0.00023854926078915
RGMB-AS1,0.0002384933440574
ARHGEF25,0.00023790027375774755
CLASP2,0.00023778502376345002
FAP,0.0002377711874595345
MRVI1,0.0002374277891834928
CPM,0.00023692095448315002
VSIG4,0.00023690468828578519
FCGR2B,0.00023641323173872631
ACYP2,0.00023562616443322375
ARHGAP44,0.00023490476786169998
RADIL,0.0002345349559895819
GNG2,0.00023448209483555
NIN,0.0002344746720264
DEPTOR,0.00023423943736045
TNFRSF19,0.00023361917420835034
ZMIZ1-AS1,0.00023336136572385
SLC8A1,0.000233270862874
MMP25-AS1,0.00023321056366965
CD79B,0.0002328122113998
EPHA4,0.00023277665151873316
